,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
England_December_10_2022_World_Cup,1,0,14,6,2.4,0.9,32,2,45,21,2492,205,88.7,220,94.0,33,50.0,1.9,2,16,10,9,8,13,637,159,330,157,33.3,21,45,48.6,1.2,0.0,,0
France_December_10_2022_World_Cup,2,2,8,5,0.9,0.9,16,4,31,13,2136,149,90.3,132,87.4,39,52.0,0.9,3,10,7,7,5,16,499,162,207,136,36.4,12,48,51.4,2.0,0.0,6.3,3
Argentina_December_13_2022_World_Cup,3,1,8,6,2.3,1.5,17,5,22,18,2163,203,91.4,102,87.2,27,50.0,1.1,0,22,9,17,8,22,544,163,275,114,33.3,12,52,46.2,0.4,2.0,12.0,3
Croatia_December_13_2022_World_Cup,0,0,12,2,0.5,0.5,24,0,44,28,2649,293,93.6,206,87.7,35,63.6,0.5,2,19,15,8,5,6,742,209,391,156,54.2,22,59,53.8,3.3,2.0,16.3,0
France_December_14_2022_World_Cup,2,0,14,2,2.2,2.2,24,2,27,27,1904,127,85.8,140,88.1,37,53.6,0.9,0,21,14,16,18,17,508,153,290,75,50.0,9,52,62.5,0.6,1.0,10.3,3
Morocco_December_14_2022_World_Cup,0,0,13,2,1.0,1.0,24,0,44,29,2811,261,89.7,220,89.4,31,57.4,0.6,1,15,8,10,7,3,704,168,412,131,33.3,26,52,37.5,1.0,0.0,14.5,0
Croatia_December_17_2022_World_Cup,2,2,12,4,0.7,0.7,18,4,40,17,2867,199,90.0,183,85.5,41,66.1,0.9,3,20,14,9,8,19,624,194,316,122,46.2,14,59,42.9,1.2,0.0,10.8,3
Morocco_December_17_2022_World_Cup,1,0,9,2,1.2,1.2,17,2,29,21,2460,215,89.2,154,87.0,39,62.9,0.4,3,10,8,10,10,16,611,232,261,119,36.8,11,55,57.1,1.1,3.0,17.0,0
Argentina_December_18_2022_World_Cup,3,1,19,9,3.3,2.6,36,5,63,26,2955,316,89.5,188,85.8,39,47.0,1.5,0,23,18,13,10,25,848,264,373,220,33.3,14,79,29.0,2.8,2.0,20.3,1
France_December_18_2022_World_Cup,3,1,8,3,2.2,0.7,16,5,38,24,2688,171,83.0,193,83.5,60,56.6,0.6,0,26,15,12,9,18,735,201,400,141,48.6,8,71,71.0,3.7,1.0,17.3,1
