,Goals,Assists,Shots,Shots_on_Target,xG,NPxG,SCA,GCA,Progressive_Passes,Progressive_Carries,Progressive_Pass_Dist,Short_Passes_Completed,Short_Pass_%,Medium_Passes_Completed,Medium_Pass_%,Long_Passes_Completed,Long_Pass_%,xA,Crosses_into_Penalty_Area,Tackles,Tackles_Won,Blocks,Interceptions,Clearances,Touches,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Take_On_Success_%,Carries_into_Final_3rd,Ball_Recoveries,Aerial_Duels_%,Post_Shot_xG,Def_Actions_Outside_Area,Avg_Dist_Actions_Outside_Area,Result
Ukraine_June_21_2021_European_Championship,0,0,5,1,0.3,0.3,10,0,37,15,2538,186,86.1,170,86.3,40,57.1,0.3,0,11,8,16,10,18,614,196,307,117,50.0,13,55,40.0,1.0,1,12.0,0
Austria_June_21_2021_European_Championship,1,1,18,4,1.6,1.6,32,1,36,26,2469,200,89.7,141,83.4,38,57.6,1.2,1,15,9,9,7,19,604,159,295,156,53.3,21,67,60.0,0.3,0,14.3,3
Russia_June_21_2021_European_Championship,1,0,5,1,1.1,0.3,11,2,16,8,1819,89,77.4,72,72.7,28,43.8,0.4,1,24,13,14,8,31,421,153,178,96,87.5,12,54,58.7,2.8,2,13.5,0
Denmark_June_21_2021_European_Championship,4,2,16,10,2.2,2.2,23,5,48,25,2568,230,89.8,145,83.8,43,55.1,1.3,1,7,3,6,10,16,660,170,339,158,48.0,14,56,41.3,0.9,0,,3
Finland_June_21_2021_European_Championship,0,0,7,1,0.4,0.4,14,0,33,11,2201,169,94.4,169,88.0,40,54.1,0.6,1,10,5,9,16,33,577,252,234,92,53.3,12,46,22.2,1.2,0,5.0,0
Belgium_June_21_2021_European_Championship,1,1,17,7,1.6,1.6,33,2,72,42,2862,323,90.7,256,90.8,50,79.4,1.9,1,17,5,14,3,10,824,132,421,280,70.6,32,58,77.8,0.0,0,16.0,3
Croatia_June_22_2021_European_Championship,3,3,11,6,1.0,1.0,20,6,32,26,2696,328,93.7,173,89.2,52,67.5,1.0,2,6,4,3,10,21,765,210,398,163,73.3,20,46,54.8,0.8,0,7.1,3
Scotland_June_22_2021_European_Championship,1,0,11,3,1.4,1.4,20,2,24,9,2100,87,82.9,117,81.3,49,56.3,1.4,2,12,7,10,10,12,435,130,207,103,40.0,13,43,45.2,2.1,3,23.0,0
Czechia_June_22_2021_European_Championship,0,0,7,1,0.3,0.3,12,0,29,12,1846,169,85.4,135,83.9,24,40.7,0.6,0,15,11,3,9,17,542,181,246,119,50.0,14,57,37.0,2.2,0,17.0,0
England_June_22_2021_European_Championship,1,1,5,3,1.5,1.5,8,2,35,21,2742,211,89.8,196,87.5,48,60.0,0.7,0,6,3,7,14,12,655,227,308,125,60.0,13,46,63.0,0.2,0,8.0,3
Sweden_June_23_2021_European_Championship,3,3,11,4,1.1,1.1,16,6,21,7,1360,82,77.4,50,63.3,19,24.1,0.7,1,12,7,14,9,44,408,166,135,115,66.7,11,44,40.7,2.5,1,8.8,3
Poland_June_23_2021_European_Championship,2,2,18,6,1.9,1.9,34,4,54,31,2641,178,88.1,189,82.5,46,46.0,2.6,4,9,4,12,8,19,662,172,296,200,50.0,26,53,59.3,1.9,1,22.0,0
Slovakia_June_23_2021_European_Championship,0,0,3,0,0.1,0.1,6,0,15,5,2044,148,89.7,115,84.6,33,52.4,0.2,0,16,10,15,12,21,477,224,224,32,22.2,3,38,46.7,5.4,0,5.0,0
Spain_June_23_2021_European_Championship,3,3,18,8,3.5,2.7,31,6,62,14,2842,266,91.7,292,93.3,43,74.1,2.8,1,12,6,9,8,1,787,117,452,223,70.0,22,57,53.3,0.0,1,27.0,3
Portugal_June_23_2021_European_Championship,2,0,8,3,2.2,0.6,18,3,32,15,2493,229,95.0,223,95.3,47,65.3,0.6,1,22,12,5,2,7,635,208,318,112,56.3,12,38,30.0,3.2,0,,1
France_June_23_2021_European_Championship,2,1,10,4,1.9,1.1,21,4,40,14,2952,279,95.9,239,96.4,46,75.4,0.9,0,14,8,5,8,10,699,179,413,110,30.8,6,32,70.0,2.2,2,18.3,1
Germany_June_23_2021_European_Championship,2,1,18,6,2.3,2.3,32,2,73,19,3478,300,93.8,303,91.5,73,74.5,1.6,2,12,6,12,9,5,877,130,456,293,40.9,22,46,61.5,0.8,2,22.0,1
Hungary_June_23_2021_European_Championship,2,2,9,4,0.8,0.8,13,4,15,7,1618,84,84.8,77,82.8,23,41.1,0.5,1,18,13,14,8,28,380,213,123,47,42.9,5,50,38.5,1.7,1,10.8,1
Wales_June_26_2021_European_Championship,0,0,11,1,0.6,0.6,20,0,36,17,2099,130,89.0,169,83.3,37,59.7,0.7,3,13,10,11,5,27,527,156,266,111,50.0,15,36,37.8,3.7,0,,0
Denmark_June_26_2021_European_Championship,4,3,16,8,2.9,2.9,27,8,33,14,2646,161,89.9,171,87.7,50,61.7,1.5,3,9,5,11,4,20,567,172,233,165,72.7,14,45,62.2,0.1,0,,3
Italy_June_26_2021_European_Championship,2,2,27,6,1.9,1.9,50,4,67,34,3989,292,91.0,230,89.5,76,73.1,1.8,1,18,12,23,14,21,875,202,425,257,47.1,31,73,47.7,0.2,1,13.4,3
Austria_June_26_2021_European_Championship,1,1,16,3,0.8,0.8,25,2,53,15,3562,229,85.8,263,90.1,51,53.1,0.9,2,33,19,19,16,18,822,294,380,156,78.6,14,62,52.3,1.8,1,16.5,0
Netherlands_June_27_2021_European_Championship,0,0,6,0,0.9,0.9,10,0,36,14,2196,128,76.2,154,80.6,39,41.9,0.7,2,12,10,6,9,6,547,194,220,137,58.8,14,52,49.1,2.4,1,13.0,0
Czechia_June_27_2021_European_Championship,2,2,12,5,1.6,1.6,22,4,30,20,2296,144,85.2,128,77.6,35,44.9,1.3,2,16,9,9,13,22,541,172,238,135,72.7,20,60,50.9,0.0,2,18.8,3
Belgium_June_27_2021_European_Championship,1,1,6,1,0.2,0.2,12,2,26,11,2497,203,91.0,143,86.7,40,58.0,0.2,0,17,7,12,7,29,583,213,274,104,66.7,12,42,46.2,0.8,0,7.5,3
Portugal_June_27_2021_European_Championship,0,0,23,4,1.4,1.4,43,0,54,21,2979,239,94.1,237,90.1,63,64.3,1.5,2,17,12,7,11,9,739,156,357,234,61.9,18,61,53.8,0.1,3,24.7,0
Croatia_June_28_2021_European_Championship,2,1,12,6,4.4,4.4,21,3,34,22,2632,195,89.4,127,85.2,40,58.0,1.4,1,18,12,11,11,26,609,244,259,109,46.2,13,59,48.0,3.6,1,11.8,0
Spain_June_28_2021_European_Championship,5,4,23,10,3.9,3.9,44,9,57,33,3922,405,94.0,311,89.6,73,73.0,2.3,7,23,17,13,9,12,1055,234,604,226,61.1,23,62,52.0,2.7,3,18.0,3
France_June_28_2021_European_Championship,3,1,26,8,3.9,3.9,45,4,64,35,3499,257,93.8,247,86.4,64,71.1,1.4,1,17,11,11,14,23,818,200,404,222,69.0,23,52,60.0,2.7,2,15.5,1
Switzerland_June_28_2021_European_Championship,3,3,11,4,1.9,1.1,23,6,55,22,3255,247,90.5,188,90.0,45,62.5,1.5,2,21,8,13,11,34,725,211,357,162,50.0,7,39,40.0,2.9,0,6.5,1
England_June_29_2021_European_Championship,2,2,5,4,1.3,1.3,10,4,33,12,2319,169,90.4,163,90.6,46,54.1,1.5,2,12,6,3,6,21,558,160,299,102,60.0,10,47,58.5,0.6,0,8.7,3
Germany_June_29_2021_European_Championship,0,0,9,3,1.4,1.4,16,0,36,15,2448,210,93.3,208,89.7,33,43.4,1.5,1,11,5,3,6,13,641,250,304,90,20.0,9,48,41.5,1.9,2,19.7,0
Sweden_June_29_2021_European_Championship,1,1,13,3,1.2,1.2,21,2,56,22,3018,260,90.9,246,87.2,34,45.9,1.2,0,9,3,14,5,16,793,167,427,208,83.3,22,49,46.4,1.2,4,33.5,0
Ukraine_June_29_2021_European_Championship,2,2,15,4,1.8,1.8,29,4,52,29,3101,298,92.3,316,89.3,63,64.9,1.1,2,13,5,12,13,25,948,277,475,201,57.1,21,43,53.6,0.5,0,7.0,3
Switzerland_July_2_2021_European_Championship,1,1,8,2,0.8,0.8,15,2,27,11,2609,116,80.0,114,82.0,48,48.5,0.7,0,33,17,17,12,27,542,261,200,87,66.7,7,66,43.8,1.5,0,11.3,3
Spain_July_2_2021_European_Championship,0,0,28,10,2.9,2.9,54,0,84,31,4063,434,93.9,394,91.4,67,72.8,2.8,5,12,6,11,9,17,1168,198,606,368,27.8,33,61,56.3,1.2,4,25.0,0
Belgium_July_2_2021_European_Championship,1,0,9,2,1.8,1.0,17,2,33,16,2248,146,87.4,203,87.5,41,58.6,0.9,0,17,10,12,10,14,587,225,245,123,68.4,9,44,70.8,1.4,0,4.0,0
Italy_July_2_2021_European_Championship,2,1,14,3,1.7,1.7,28,4,38,22,2717,244,93.1,167,91.8,59,70.2,1.4,2,15,5,10,8,19,671,159,287,230,38.5,24,45,29.2,1.2,1,16.3,3
Czechia_July_3_2021_European_Championship,1,1,16,5,1.6,1.6,30,2,43,20,2629,181,89.2,146,82.0,54,55.1,1.3,4,12,8,5,12,15,598,182,260,162,75.0,12,55,43.2,2.6,1,20.0,0
Denmark_July_3_2021_European_Championship,2,2,11,6,1.5,1.5,20,3,21,15,2345,151,86.3,92,74.2,45,53.6,0.6,2,13,8,11,18,33,524,181,246,110,66.7,12,46,56.8,1.4,2,17.7,3
Ukraine_July_3_2021_European_Championship,0,0,7,2,0.3,0.3,11,0,28,12,2088,264,93.6,228,95.0,34,60.7,0.2,0,17,13,10,9,8,691,187,409,96,60.0,6,38,27.3,2.6,0,,0
England_July_3_2021_European_Championship,4,3,10,6,2.0,2.0,19,8,30,11,2550,294,95.5,230,95.0,38,71.7,1.2,1,10,4,16,9,11,739,144,452,147,60.0,15,42,72.7,0.1,2,25.7,3
Italy_July_6_2021_European_Championship,1,0,7,4,0.8,0.8,11,1,16,9,2092,145,88.4,131,81.4,29,41.4,0.3,0,17,8,17,24,20,554,247,220,90,25.0,8,57,47.4,1.5,0,10.0,1
Spain_July_6_2021_European_Championship,1,1,16,4,1.5,1.5,29,2,77,26,3674,352,92.9,396,91.5,61,67.0,1.1,0,15,12,15,13,11,1067,229,595,253,75.0,33,65,52.6,1.3,6,18.4,1
England_July_7_2021_European_Championship,1,0,19,9,2.7,1.8,37,1,63,39,3328,327,92.6,269,89.1,47,54.0,1.7,3,11,3,9,13,12,903,175,460,278,51.7,23,65,51.2,0.3,0,3.3,1
Denmark_July_7_2021_European_Championship,1,0,6,3,0.2,0.2,10,2,39,13,2899,212,89.8,195,87.4,37,41.6,0.2,0,33,16,12,15,33,718,283,307,135,35.7,11,64,48.8,3.0,3,20.7,1
Italy_July_11_2021_European_Championship,1,0,19,6,2.6,2.6,31,1,48,22,3632,405,92.9,291,90.4,50,69.4,1.1,2,27,8,8,13,18,1034,270,533,237,66.7,33,46,52.2,0.8,1,16.3,1
England_July_11_2021_European_Championship,1,1,6,2,0.6,0.6,10,2,33,15,2708,142,84.5,160,81.2,39,45.3,0.5,0,15,6,15,14,18,600,222,254,132,57.7,9,41,47.8,1.6,1,13.3,1
